msc_a,title_a,msc_b,title_b,direct_link,reference_overlap,text_similarity,connection_score
2674,MSC2674: Event relationships,2675,MSC2675: Serverside aggregations of message relationships,1.0,0.4,0.708,0.732
4151,MSC4151: Reporting rooms (Client-Server API),4260,MSC4260: Reporting users (Client-Server API),1.0,0.25,0.839,0.727
3820,MSC3820: Room Version 11,3989,MSC3989: Redact `origin` property on events,1.0,0.444,0.566,0.703
4239,MSC4239: Room version 11 as the default room version,4304,MSC4304: Room Version 12,1.0,0.227,0.75,0.693
1946,Secure Secret Storage and Sharing,2472,Symmetric SSSS,1.0,0.2,0.752,0.685
1772,"Proposal for Matrix ""spaces"" (formerly known as ""groups as rooms (take 2)"")",2946,MSC2946: Spaces Summary,1.0,0.25,0.658,0.672
3821,"MSC3821: Update redaction rules, again",3989,MSC3989: Redact `origin` property on events,1.0,0.333,0.558,0.667
3758,MSC3758: Add `event_property_is` push rule condition kind,3966,MSC3966: `event_property_contains` push rule condition,1.0,0.333,0.55,0.665
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.333,0.528,0.658
2946,MSC2946: Spaces Summary,3173,MSC3173: Expose stripped state events to any potential joiner,1.0,0.5,0.352,0.656
2077,MSC2077 - Room version 5,2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,1.0,0.286,0.563,0.655
2176,MSC2176: Update the redaction rules,3821,"MSC3821: Update redaction rules, again",1.0,0.333,0.503,0.651
2241,Key verification in DMs,2366,Key verification flow additions: `m.key.verification.ready` and `m.key.verification.done`,1.0,0.0,0.835,0.65
2674,MSC2674: Event relationships,2676,MSC2676: Message editing,1.0,0.444,0.378,0.647
2176,MSC2176: Update the redaction rules,3989,MSC3989: Redact `origin` property on events,1.0,0.429,0.375,0.641
3604,MSC3604: Room Version 10,4304,MSC4304: Room Version 12,1.0,0.038,0.765,0.641
2674,MSC2674: Event relationships,3267,MSC3267: reference relationships,1.0,0.333,0.455,0.636
3820,MSC3820: Room Version 11,4304,MSC4304: Room Version 12,1.0,0.077,0.709,0.636
2674,MSC2674: Event relationships,3440,MSC3440 Threading via `m.thread` relation,1.0,0.267,0.5,0.63
2675,MSC2675: Serverside aggregations of message relationships,2676,MSC2676: Message editing,1.0,0.375,0.387,0.628
3083,Restricting room membership based on membership in other rooms,3173,MSC3173: Expose stripped state events to any potential joiner,1.0,0.375,0.378,0.626
2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,2966,MSC2966: Usage of OAuth 2.0 Dynamic Client Registration in Matrix,1.0,0.333,0.41,0.623
2946,MSC2946: Spaces Summary,3266,MSC3266: Room Summary API,1.0,0.2,0.541,0.622
2788,MSC2788: Room version 6 as a default,4239,MSC4239: Room version 11 as the default room version,1.0,0.125,0.605,0.619
1708,MSC1708: .well-known support for server name resolution,1831,Proposal to do SRV lookups after .well-known to discover homeservers,1.0,0.333,0.389,0.617
2174,MSC2174: move the `redacts` property to `content`,2176,MSC2176: Update the redaction rules,1.0,0.375,0.35,0.617
3440,MSC3440 Threading via `m.thread` relation,3856,MSC3856: Threads List API,1.0,0.0,0.721,0.616
3824,MSC3824: OAuth 2.0 API aware clients,4191,MSC4191: Account management for OAuth 2.0 API,1.0,0.2,0.504,0.611
4289,MSC4289: Explicitly privilege room creators,4291,MSC4291: Room IDs as hashes of the create event,1.0,0.286,0.419,0.611
2676,MSC2676: Message editing,2677,MSC2677: Annotations and Reactions,1.0,0.3,0.401,0.61
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,2966,MSC2966: Usage of OAuth 2.0 Dynamic Client Registration in Matrix,1.0,0.333,0.366,0.61
3820,MSC3820: Room Version 11,3821,"MSC3821: Update redaction rules, again",1.0,0.222,0.478,0.61
2334,[MSC2334](https://github.com/matrix-org/matrix-doc/pull/2334) - Change default room version to v5,4239,MSC4239: Room version 11 as the default room version,1.0,0.091,0.607,0.609
2964,MSC2964: Usage of OAuth 2.0 authorization code grant and refresh token grant,3861,"MSC3861: Next-generation auth for Matrix, based on OAuth 2.0/OIDC",1.0,0.231,0.459,0.607
2675,MSC2675: Serverside aggregations of message relationships,3440,MSC3440 Threading via `m.thread` relation,1.0,0.214,0.468,0.605
2002,MSC 2002 - Rooms V4,2077,MSC2077 - Room version 5,1.0,0.286,0.396,0.604
2965,MSC2965: OAuth 2.0 Authorization Server Metadata discovery,4191,MSC4191: Account management for OAuth 2.0 API,1.0,0.125,0.544,0.601
3173,MSC3173: Expose stripped state events to any potential joiner,3266,MSC3266: Room Summary API,1.0,0.167,0.505,0.601
1219,Possible UX for interactive clients,1946,Secure Secret Storage and Sharing,1.0,0.286,0.38,0.6
4289,MSC4289: Explicitly privilege room creators,4297,MSC4297: State Resolution v2.1,1.0,0.5,0.161,0.598
